qid	semantic_groups	preflabel	synonyms	definition
Q1968605	CONC	secure hash algorithm - 256	Secure Hash Algorithm-256|SHA-256|secure hash algorithm - 256	An algorithm for computing a condensed representation of a message or a data file that produces a 256-bit message digest.
Q18027956	GENE	INSL3	ley-I-L|insulin like 3|INSL3|RLF|RLNL	human gene
Q1154116	LIVB	Lepus coreanus	Korean hare|Lepus coreanus|Lepus coreanus (organism)	
Q27295193	CHEM	suxethonium bromide	suxethonium bromide	
Q18027953	GENE	INSIG1	INSIG1|CL6|CL-6|insulin induced gene 1	human gene
Q7456364	LIVB	Setaria sphacelata	non Pennisetum sphacelatum|Setaria sphacelata|Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex M.B.Moss	
Q3323594	LIVB	Steinchisma	Steinchisma Raf.|Steinchisma	
Q17374144	LIVB	Steinchisma hians	Steinchisma hians (Elliott) Nash|Steinchisma hians	
Q15591590	LIVB	Alonsoa auriculata	Alonsoa auriculata	
Q5676693	LIVB	Angelonia angustifolia	Angelonia angustifolia|Angelonia angustifolia Benth.	
Q786854	DISO	Degloving injury	Degloving|Degloving (morphologic abnormality)|degloving injury|Degloving injury (disorder)|degloving injuries	
Q21163221	GENE	INS	IRDN|insulin|IDDM|ILPR|MODY10|IDDM1|IDDM2|INS	human gene
Q18027940	GENE	INPP4A	INPP4A|INPP4|inositol polyphosphate-4-phosphatase type I A|TVAS1	human gene
Q18027942	GENE	INPP5A	INPP5A|inositol polyphosphate-5-phosphatase A|5PTASE	human gene
Q18027945	GENE	INPP5B	INPP5B|inositol polyphosphate-5-phosphatase B|5PTase	human gene
Q413504	CHEM	Azelate	Azelate|Azelate (substance)	
Q18027947	GENE	INPP5D	inositol polyphosphate-5-phosphatase D|hp51CN|SHIP1|INPP5D|p150Ship|SHIP|SHIP-1|SIP-145	human gene
Q3263772	LIVB	Pseudechinolaena	Pseudechinolaena	
Q18027950	GENE	INPPL1	SHIP2|OPSMD|INPPL1|inositol polyphosphate phosphatase like 1	human gene
Q15238399	LIVB	Pseudechinolaena polystachya	Pseudechinolaena polystachya	
Q18027973	GENE	PDX1	IPF1|pancreatic and duodenal homeobox 1|STF-1|IDX-1|IUF1|PDX1|PAGEN1|GSF|MODY4|PDX-1	human gene
Q7263584	PROC	Pyridinoline measurement	Pyridinoline|PYRIDNLN|Pyridinoline measurement (procedure)|Pyridinoline Measurement	The determination of the amount of pyridinoline present in a sample.
Q27134578	CHEM	IC 202B	IC 202B|IC202B|IC-202B	
Q27134579	CHEM	IC 202C	IC 202C|IC202C|IC-202C	
Q22231325	DISO	Biermer's congenital pernicious anemia	Biermer's congenital pernicious anemia (disorder)|Biermer|Biermer's congenital pernicious anaemia|congenital abnormal intrinsic factor (diagnosis)|Biermer congenital pernicious anemia|Biermer's congenital pernicious anemia|congenital abnormal intrinsic factor	
Q17675530	GENE	A1BG	A1B|ABG|GAB|A1BG|HYST2477|alpha-1-B glycoprotein	human gene
